KPI ID,Sector,Sub-sector,SP/EF,Indicator Name,Definition,Disaggregation,Unit of measurement,Type of measurement
242,Food security and livelihoods,Livelihoods,SP 2- Disasters and crises ,Number of rehabilitated or restored basic livelihood infrastructure/equipment.,"Basic livelihood infrastructure/equipment: This encompasses a wide range of assets essential for the daily economic activities of a community. Examples include water supply systems, irrigation channels, roads and bridges for transport, marketplaces, fishing boats, agricultural machinery, and processing facilities. Rehabilitated or restored: The process of repairing, refurbishing, or reconstructing infrastructure or equipment that has been damaged, deteriorated, or otherwise rendered partially or wholly dysfunctional, to bring it back to a functional or improved state.",,Metrics,Number
243,"Food security and livelihoods
Climate and environment","Livelihoods
Climate change adaptation",SP 2- Disasters and crises ,Number of restored ecosystem services used by targeted community for their livelihoods.,"Restored ecosystem services: Natural processes and functions that have been rehabilitated or enhanced to provide benefits to people and wildlife. Examples include water purification, pollination, flood regulation, and soil fertility improvement. Used by targeted community for their livelihoods: The use of these restored ecosystem services by local communities to support economic activities such as farming, fishing, forestry, or eco-tourism, which are critical for their sustenance and economic stability.",,Services,Number
249,Education,Education,"SP 5 - Values, power and inclusion",Number of people receiving any form of education support provided by RCRC.,"‘Education support’ includes homework assistance, remedial or catch-up classes, language classes, (functional) literacy or numeracy classes, schooling support for specific needs, etc.",SAD,People,Number
252,Education,Education,"SP 5 - Values, power and inclusion",Number of people able to travel to/from schools or other educational spaces through RCRC assistance (including vouchers).,"Children are 5-12y, adolescents 13-17y and young adults 18-30y. ","“Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc.",People,Number
256,"Education
National society development","Education
National society development","SP 5 - Values, power and inclusion",Number of teachers or and other education personnel (incl. volunteer facilitators) trained by RCRC.,"Teachers or other education personnel include professional teachers, volunteer/incentive teachers, non-professional community facilitators, education authorities and administrators (e.g., headmasters), school counsellors/psychologists, education assistants, school supervisors/monitors, etc. “Trained by RCRC” = who participated in a training course of any duration delivered by IFRC or National Society staff or volunteers on any relevant topic (e.g., teaching and learning approaches, first aid and/or psychological first aid, safety behaviours, early warning or early action protocols, contingency or evacuation plans, distance learning/e-learning support, inclusive/adapted services, etc.)","SAD, profession (i.e., volunteer facilitator, teacher, education administration, other)",People,Number
260,"Education
Health
Disaster risk reduction","Education
Health promotion services
Disaster risk reduction","SP 5 - Values, power and inclusion","Number of teachers and education personnel (incl. volunteer facilitators) trained by RCRC Number of teachers or other education personnel trained by RCRC on comprehensive school safety related matters, including climate and environmental change, risk reduction, emergency preparedness or anticipatory action.","""Teachers or other education personnel"" include professional teachers, volunteer/incentive teachers, non-professional community facilitators, education authorities or administrators (e.g., headmasters), school counsellors/psychologists, education assistants, school supervisors/monitors, etc. ""Trained by RCRC” = who participated in a training course of any duration delivered by IFRC or National Society staff or volunteers. “Comprehensive school safety related matters” refer mainly, but not only, to school-based risk management (including prevention, preparedness, anticipatory action, contingency and response planning and coordination, adaptation, mitigation and recovery measures, (environmental) sustainability considerations) in the face of any hazard, shock or stress (including conflict, violence, disasters, climate and environmental change, health-related emergencies, and road safety related issues)","SAD, profession (i.e., volunteer facilitator, teacher, education administration, other), training topic if appropriate (i.e., climate and environmental change, risk reduction, emergency preparedness/anticipatory action, other)",People,Number
261,"Education
Health","Education
Health promotion services","SP 5 - Values, power and inclusion","Number of teachers or other education personnel trained by RCRC on first aid, health, water, sanitation or hygiene related matters.","“Teachers or other education personnel” include professional teachers, volunteer/incentive teachers, non-professional community facilitators, education authorities or administrators (e.g., headmasters), school counsellors/psychologists, education assistants, school supervisors/monitors, etc. ""Trained by RCRC” = who participated in a training course of any duration delivered by IFRC or National Society staff or volunteers. “First aid related matters” include, but are not limited to, the principles and four main steps of basic first aid, fainting, unconsciousness, resuscitation, stroke, choking, skin wounds, burns, bleeding, injuries, poisoning, stings and bites, fever, diarrhoea, convulsions. “Health-related matters” include, but are not limited to, communicable and non-communicable diseases, sexual and reproductive health, mental health and psychosocial support, voluntary non-remunerated blood donation, immunization, substance misuse and abuse. “Water, sanitation or hygiene related matters” include, but are not limited to, water purification and storage, daily hygiene practices (e.g., proper latrine use, handwashing, tooth bushing, face washing and body cleaning), menstrual hygiene management and waste management.","SAD, profession (i.e., volunteer facilitator, teacher, education administration, other), training topic (i.e., first aid, health, WASH)",People,Number
262,"Education
PGI
National society development","Education
Inclusion
National society development","SP 5 - Values, power and inclusion","Number of teachers and education personnel (incl. volunteer facilitators) trained by RCRC on safeguarding, protection, gender or inclusion (PGI) in affected areas.","""Teachers or other education personnel"" include professional teachers, volunteer/incentive teachers, non-professional community facilitators, education authorities or administrators (e.g., headmasters), school counsellors/psychologists, education assistants, school supervisors/monitors, etc. “Trained by RCRC” = who participated in a training course of any duration delivered by IFRC or National Society staff or volunteers. ”Protection, gender or inclusion related matters” include, but are not limited to, safeguarding, child protection, gender-based violence, sexual exploitation and abuse, discrimination, bullying, child marriage, recruitment to armed forces, harmful practices, social exclusion, violence prevention, mediation, gender equality, case identification and safe referral. PGI training’ includes introductory PGI training modules (online or face to face), focuse on Dignity, Access, Participation, Safety) and/or specific training on safeguarding, gender-based violence, sexual exploitation and abuse, exclusion","SAD, profession (i.e., volunteer facilitator, teacher, education administration, other).",People,Number
265,"Education
Shelter
WASH","Education
Shelter
WASH","SP 5 - Values, power and inclusion",Number of people receiving hygiene items or packages distributed by RCRC in schools or other educational spaces.,"“People” include, but is not limited to, children, adolescents or young adults, students, teachers or other education personnel (including professional teachers, volunteer/incentive teachers, non-professional community facilitators, education authorities or administrators (e.g., headmasters), school counsellors/psychologists, education assistants, school supervisors/monitors, etc.). “Hygiene items or packages” comprise, but is not limited to, dignity kits, disinfection items, soap, toothbrush or other personal hygiene items (including gender-specific ones). “Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc.",SAD,People,Number
266,"Education
Shelter","Education
Shelter","SP 5 - Values, power and inclusion",Number of damaged or occupied schools or other educational spaces subsequently rehabilitated and reopened by RCRC.,"“Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc. ”Occupied” includes use for military or election purposes, as temporary evacuation or accommodation centre, quarantine or medical treatment centre, etc. “Reopened” means continuous learning sessions are being conducted in their own designated spaces within the school or other educational space.","Educational level (i.e., pre-primary, primary, lower secondary, upper secondary, tertiary, other)",Services,Number
267,"Education
Shelter","Education
Shelter","SP 5 - Values, power and inclusion","Number of schools or other educational spaces constructed or established, rehabilitated or improved by RCRC.","“Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc. “Improved” includes security, safety or emergency-related considerations (e.g., equipment like fire extinguishers or first aid kits, emergency provisions like blankets, water or food, etc.), adaptations to facilitate access and use for people living with disabilities, environmental/greening considerations, etc.","Educational level (i.e., pre-primary, primary, lower secondary, upper secondary, tertiary, other)",Metrics,Number
268,"Education
Shelter","Education
Shelter","SP 5 - Values, power and inclusion",Number of schools or other educational spaces provided by RCRC with a power source.,"“Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc.","Educational level (i.e., pre-primary, primary, lower secondary, upper secondary, tertiary, other)",Metrics,Number
270,"Education
Shelter","Education
Shelter","SP 5 - Values, power and inclusion","Number of people with access to schools or other educational spaces constructed or established, rehabilitated or improved by RCRC.","“People” include, but is not limited to, children, adolescents, young adults, students, teachers or other education personnel (including professional teachers, volunteer/incentive teachers, non-professional community facilitators, education authorities or administrators (e.g., headmasters), school counsellors/psychologists, education assistants, school supervisors/monitors, etc.). “Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc.",SAD,People,Number
271,"Education
Shelter","Education
Shelter","SP 5 - Values, power and inclusion",Number of schools or other educational spaces used by RCRC as temporary evacuation or accommodation centres or for other purposes than education.,"Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc. “Other purposes than education” include quarantine, medical treatment, elections, etc.","Educational level (i.e., pre-primary, primary, lower secondary, upper secondary, tertiary, other)",Services,Number
272,"Education
Shelter","Education
Shelter","SP 5 - Values, power and inclusion","Number of schools or other educational spaces used by RCRC as temporary evacuation or accommodation centresor for other purposes than education, which were returned in a useable state or improved state.","“Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc. “Other purposes than education” include quarantine, medical treatment, elections, etc.","Educational level (i.e., pre-primary, primary, lower secondary, upper secondary, tertiary, other)",Metrics,Number
288,"Education
Food security and livelihoods","Education
Food security","SP 5 - Values, power and inclusion","Number of schools or other educational spaces in which RCRC distributes a daily meal, snack or take-away food ration.","“Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc.","Educational level (i.e., pre-primary, primary, lower secondary, upper secondary, tertiary, other)",Services,Number
289,"Education
Food security and livelihoods","Education
Food security","SP 5 - Values, power and inclusion","Number of people receiving from RCRC a daily meal, snack or take-away food ration in schools or other educational spaces.","“Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc.",SAD,People,Number
293,"Education
Food security and livelihoods","Education
Livelihoods","SP 5 - Values, power and inclusion","Number of people provided or supported by RCRC with formal or informal technical, vocational or professional education or training opportunities.","“Technical and vocational education and training” comprise education, training and skills development opportunities relating to a wide range of occupational fields, production, services and livelihoods (e.g., agriculture, construction, aesthetics, transport, textile, finance, hotel trade or restaurant industries). It is often mainly designed for learners to develop the practical skills, know-how and understanding necessary to directly enter into a particular occupation or trade (or class of occupations or trades). It can take place at secondary, post-secondary and tertiary levels. It generally includes work-based learning and continuing training and professional development which may lead to labour-market relevant qualifications recognized by the national competent authority (e.g., Ministry of Education, employers’ associations). It can also include the development of (functional) literacy or numeracy skills or other transversal skills (e.g., interpersonal skills, life skills, etc.).",SAD,People,Number
294,"Education
Food security and livelihoods","Education
Livelihoods","SP 5 - Values, power and inclusion","Number of people provided or supported by RCRC with functional literacy or numeracy classes or any other form of support to facilitate employment/self-employment, vocational training, or formal education.","‘Other forms of support’ include consultation, resume support, coaching, transversal or other specific skills training. ‘Functional literacy and numeracy’ refer to the capacity of a person to use basic literacy and numeracy required for the effective functioning of economic activities of her or his household, group and/or community.",SAD,People,Number
297,"Education
Migration","Education
Migration (assistance)","SP 5 - Values, power and inclusion",Number of communities / sites provided with education-related activities in RCRC response.,"If informal, these are discrete continuous sites which require travel between them. If formally recognised, then they are identified as such by name or number by administrative authorities and should be the lowest in the administrative hierarchy (such as village, commune, camp zone).",,Communities,Number
301,Climate and environment,Environmental sustainability,SP 1 - Climate and enviroment,Estimated volume of CO2 emissions generated by deployment of RCRC staff and equipment for emergency operations.,"Measurement Method: Calculate the emissions based on the distance traveled and the type of transportation used (e.g., air, ground, marine). Use standard emission factors for different types of vehicles and equipment to estimate CO2 emissions. Collect data on fuel consumption and operational hours for equipment used in emergency operations. Utilize carbon calculators and software tools to estimate emissions based on activity data.",NS,Metrics,Number
302,Climate and environment,Environmental sustainability,SP 1 - Climate and enviroment,Number of National Societies whose operations include a waste management plan.,"Waste Management Plan: A documented strategy that includes: Waste Segregation: Processes for separating different types of waste (e.g., organic, recyclable, hazardous). Waste Collection: Systems for collecting and transporting waste to disposal or recycling facilities. Disposal Methods: Environmentally safe methods for disposing of different types of waste. Recycling Programs: Initiatives to recycle materials where possible. Training and Awareness: Educating staff and volunteers on waste management practices. Monitoring and Evaluation: Regular assessment of waste management practices and their effectiveness. RCRC Operations: RCRC emergency response domestically or internationally.",,Responses,Number
307,"Climate and environment
Integrity and accountability","Environmental sustainability
Integrity and accountability",SP 1 - Climate and enviroment,Number of households provided with a sustainable household energy solution.,"Sustainable household energy solutions include providing access to solar lamps/lanterns; improved / fuel-efficient cook stoves; alternative cooking fuels (e.g. replacing firewood with LPG, eco-briquettes etc); solar energy (for charging points, lighting, heating etc); biogas. Can also include design of CVA transfers to cover such costs, as well as in-kind provision.",,Households,Number
310,"Climate and environment
Disaster risk reduction","Climate change adaptation
Disaster risk reduction",SP 1 - Climate and enviroment,"Number of trees planted for climate change adaptation, mitigation and/or to reduce disaster risk.","This indicator quantifies the number of trees planted with the intention of contributing to climate change adaptation and mitigation, as well as reducing disaster risk. This includes activities aimed at enhancing carbon sequestration, stabilizing soils, reducing erosion, improving water retention, and creating windbreaks.",,Metrics,Number
319,"Climate and environment
WASH","Environmental sustainability
WASH",SP 1 - Climate and enviroment,Number of water pumps or other infrastructure using solar power or other renewable energy.,"Water pumps or other infrastructure: This includes various types of infrastructure critical for services such as water supply, sanitation, and electricity generation, among others. Using solar power or other renewable energy: This specifies that the infrastructure is operated using solar panels, wind turbines, hydroelectric power, or other renewable energy sources, rather than traditional fossil fuels.",By energy type.,Metrics,Number
321,Climate and environment,Environmental sustainability,SP 1 - Climate and enviroment,Number of IFRC Network facilities using solar or other renewable power source.,"Renewable Energy Sources: Types of renewable energy used to power facilities, including: Solar Power: Solar panels and solar thermal systems. Wind Power: Wind turbines. Hydro Power: Small-scale hydroelectric systems. Biomass: Biomass boilers and biogas systems. IFRC Network Facilities: Various types of facilities within the IFRC Network, such as: Offices: Administrative and operational offices. Warehouses: Storage facilities for relief goods and equipment. Health Facilities: Clinics, hospitals, and health posts. Training Centres: Facilities used for training and workshops.",,Metrics,Number
324,"Climate and environment
Integrity and accountability","Environmental sustainability
Integrity and accountability",SP 1 - Climate and enviroment,Percentage of contracted local suppliers assessed against environmental sustainability criteria in procurement decisions.,"Numerator: Number of Suppliers Assessed Against Sustainability Criteria. Denominator: Total number of contracted suppliers. Environmental Sustainability Criteria: Specific standards or guidelines used to evaluate suppliers, such as:  Resource Efficiency: Efficient use of energy, water, and materials. Waste Management: Proper handling and reduction of waste. Emission Control: Measures to reduce greenhouse gas emissions and other pollutants. Sustainable Sourcing: Use of renewable or sustainably sourced materials. Environmental Certifications: Possession of certifications such as ISO 14001 or equivalent. Eco-friendly Products: Offering products that are environmentally friendly or have a lower environmental impact. Procurement Process: The steps involved in contracting suppliers, including: Supplier Identification: Finding potential suppliers. Supplier Assessment: Evaluating suppliers against sustainability criteria. Contract Awarding: Choosing suppliers based on assessment results and other factors.",,Suppliers,Percentage
326,Migration,Migration (assistance),SP 4 - Migration and displacement,"Number of people reached by RCRC social cohesion activities to improve relations between migrants , internally displaced people and host communities.","Social cohesion refers to the strength of relationships and the sense of solidarity among members of a community aimed at encouraging dialogue and interaction between migrants and host communities and supporting host communities in receiving migrants. Examples include the following. Community dialogue: Facilitated discussions and forums where migrants, displaced people, and host community members can share experiences, express concerns, and work towards mutual understanding and cooperation. Cultural events: Festivals, exhibitions, and performances that celebrate cultural diversity and encourage interaction between different community groups. Sports and recreational activities: Joint sports events, games, and recreational activities that bring together migrants and host community members. Educational programs: Workshops and seminars focusing on cultural sensitivity, conflict resolution, and the benefits of diversity. Volunteer initiatives: Collaborative projects where migrants and host community members work together on community service and development initiatives.",SAD,People,Number
330,Migration,Migration (assistance),SP 4 - Migration and displacement,"Number of people reached through humanitarian service points (migrants, internally displaced persons and host communities) with humanitarian assistance and/or protection servicies.","Assistance and protection services offer a variety of support services aimed at addressing the diverse needs of vulnerable population (people on the move, people displaced because a crisis or people from the host community where migrants and IDPs are displaced or passing through), including but not limited to food, first aid, health care, mental health, psychosocial support, relief (essential household items), cash and vouchers, information and accompaniment, connectivity (wifi, phone cards), shelter/accommodation, water, sanitation and hygiene promotion (WASH), transportation, evacuation, safe referrals to service providers, including government, UNHCR, UNICEF, restoring family links (RFL), legal aid providers, NGOs etc, child protection activities, anti-trafficking activities and Immigration detention related activities.",SAD,People,Number
331,"Migration
Humanitarian diplomacy and communication","Migration (assistance)
Humanitarian diplomacy and communication",SP 4 - Migration and displacement,Number of specific advocacy representations made towards meeting the needs of migrants.,"Specific advocacy representation refers to any Red Cross Red Crescent attendance or participation in global, regional, national or local level relevant forums to raise needs of migrants.",,Description,Qualitative
333,"Migration
National society development","Migration (assistance)
National society development",SP 4 - Migration and displacement,Number of staff and volunteers trained in Migration & Displacement.,Training in migration & displacement may cover the following topics (even if it is not an exhaust list); migration dynamics; displacement issues; legal and policy frameworks; protection and human rights; cultural competency; health services; psychosocial support; data collection and management; crisis response.,,Training,Qualitative
334,PGI,Restoring family links,"SP 5 - Values, power and inclusion",Number of people reached with restoring family links (RFL) services.,"RFL Services: A range of activities and support services provided to assist individuals in re-establishing contact with family members. These services include: Tracing and locating missing family members; Facilitating communication through letters, phone calls, and other means; Reuniting separated family members; Providing information on the whereabouts and safety of family members; Supporting the exchange of Red Cross messages.",SAD,People,Number
336,PGI,Restoring family links,"SP 5 - Values, power and inclusion",Number of people who have been reunited with their families through restoring family links (RFL) services.,"RFL Services: A range of activities and support services provided to assist individuals in re-establishing contact with family members. These services include: Tracing and locating missing family members; Facilitating communication through letters, phone calls, and other means; Reuniting separated family members; Providing information on the whereabouts and safety of family members; Supporting the exchange of Red Cross messages.",SAD,People,Percentage
441,Food security and livelihoods,Food security,SP 2- Disasters and crises ,Number of households supported in food production in urban and peri-urban areas.,"‘Food production’ focuses on the processing and preparation of agricultural sources (crop, livestock, fish, etc.) for consumption.",,Households,Number
448,Food security and livelihoods,Livelihoods,SP 2- Disasters and crises ,Number of people supported to start or improve their income generation activities.,"People supported to start or improve income generation activities: Individuals who have been assisted in establishing new income-generating ventures or enhancing existing ones. This support can encompass a range of activities, from small-scale entrepreneurship to agricultural endeavours. Support provided: The nature of the assistance provided may include financial aid (like microloans or grants), provision of equipment or materials, technical training, business coaching, marketing support, and other resources necessary for starting or improving a business or productive activity.",SAD,People,Number
457,PGI,PGI,"SP 5 - Values, power and inclusion","Percentage of National Societies applying the IFRC minimum standards for protection, gender and inclusion in emergencies.","Numerator: National Societies that apply the IFRC minimum standards for PGI in their emergency operations. Denominator: total number of National Societies. ""Applying"": analysis has been conducted using the PGI minimum standards and included in the emergency response plan at any stage of operation as demonstrated by a clear reference to applying the PGI minimum standards in the operational plans. Assessing the quality of application should be made using the PGI marker http://tiny.cc/PGIMarker and reporting the & of operations scoring 0, 1 or 2 using that marker.",,Responses,Percentage
473,Climate and environment,Environmental sustainability,SP 1 - Climate and enviroment,Number of National Societies adopting greening practices to improve the environmental sustainability of their operations and programmes,"Greening practices has no firm definition, however it covers a number of features that indicate environmental sustainability (E.S.) has been improved in some way. This includes: formal commitment of the NS to E.S. through development of an environmental policy, or inclusion of E.S. in their long-term Strategy; NS has developed an environmental management plan, or measured their environmental and carbon footprints; changes to supply chain management or other logistics functions that reduce environmental footprint (reducing carbon emissions, waste, improved sustainability of emergency stocks etc); NS has developed capacity to assess environmental risks of their programmes and operations (environmental screening) and/or piloted environmental screening; sectoral interventions have integrated use of clean energy, improved waste management, protection of local natural resources.",,NS,Number
478,CEA,CEA,"SP 5 - Values, power and inclusion",Percentage of surveyed affected people who feel their opinion is taken into account in decisions about services/programmes/operations (choose most appropriate word depending on context).,"Percentage of all people surveyed who answer yes completely or mostly yes to the survey question. Indicator tracks if people feel they are able to influence decision-making. 
Question: Does the <insert name of National Society> take your opinion into account when providing support? 5-point Likert scale. 1=Not at all, 2=Not very much, 3=Somewhat, 4=Mostly yes, 5=Yes completely. This indicator refers to individuals who (1) have received services from the RCRC in the reporting period and (2) who feel they were able to have a say in the support they receive. A baseline perception survey should be conducted among communities targeted by the NS/programme/operation, and follow-up survey should be conducted periodically. Take the average those responding in surveys in the affirmative (“Yes completely”, “Mostly yes”).",SAD,People,Percentage
495,Coordination and cooperation,Membership coordination,EF 1- Strategic and operational coordination,Number of countries where a membership coordination mechanism is in place.,"Membership coordination mechanism is defined through different coordination platforms (strategic, operational and technical) with the HNS, PNS and IFRC to ensure a coordinated approach in the country.",,Country,Number
496,Coordination and cooperation,Membership coordination,EF 1- Strategic and operational coordination,"Number of National Societies where a Federation-wide approach is used for planning, monitoring and reporting the impact of the IFRC network.",Federation-wide approach: development of Unified plan and/or a Federation-wide Emergency Appeal.,,NS,Number
502,"Integrity and accountability
PGI","Integrity and accountability
PGI",EF 4 - Accountability and agility,Number of National Societies that have a Protection from Sexual Exploitation and Abuse (PSEA) policy to enforce prevention and support survivors.,"Indicator to be aggregated as total of submitting NS. “PSEA policy” is a policy that includes provisions for clear commitments, principals and statements towards at least: prevention, mitigation, and response to SEA. National Society having a policy is an organisation that has formally adopted a PSEA policy. The policy may be titled otherwise such as “Safeguarding policy”, but must include clear provisions for preventing, mitigating and appropriately responding to SEA.",,Organization,Number
506,"National society development
PGI","National society development
Inclusion","SP 5 - Values, power and inclusion",Diversity of National Society’s staff at senior level.,"Calculation: The proportion of senior-level staff who belong to different demographic groups. This can be measured using various metrics, such as the percentage of women, ethnic minorities, individuals with disabilities, and youth in senior positions. This indicator measures the diversity of staff at senior levels within National Societies, reflecting the representation of various demographic groups in high-level positions. Diversity at senior levels includes gender, age, ethnicity, disability status, and other under-represented groups. “Male and female” refer to individuals identifying as that gender.",SAD,Staff,Number
521,Migration,Migration (NS capacity),SP 4 - Migration and displacement,Number of National Societies implementing programs to support migrants and/or displaced persons.,"Programs to Support Migrants and Displaced Persons: programs specifically targeting migrants and displaced persons and providing the services that may include health services, shelter and housing, legal assistance, psychosocial support, livelihood support and integration programs.",,NS,Number
522,Migration,Migration (NS capacity),SP 4 - Migration and displacement,Number of National Societies which are impacted by large scale population movements that have in place a preparedness and response plan.,Preparedness and Response Plan сomponents should include: risk assessment; resource allocation; coordination mechanisms; training and capacity building; communication strategies; and contingency plans.,,Organization,Number
527,"Education
National society development","Education
National society development","SP 5 - Values, power and inclusion",Number of schools or other educational spaces in which RCRC staff or volunteers carry out educational interventions.,"“Schools” refer to primary or secondary schools. “Other educational spaces” include kindergartens, universities, youth/RCRC clubs, child-friendly or temporary learning spaces, community (education/training) centers, technical/vocational education/training centers, institutions for people with specific needs, etc. “Educational intervention”= a learning session of any duration, with a desired learning outcome, delivered either as part of the curriculum or as an extra-curricular activity. It can target children, adolescents or young adults, students, teachers or other education personnel (including professional teachers, volunteer/incentive teachers, non-professional community facilitators, education authorities or administrators (e.g., headmasters), school counsellors/psychologists, education assistants, school supervisors/monitors, etc.). It can be on any topic of RCRC expertise such as first aid, health, water, sanitation or hygiene, international humanitarian law, humanitarian principles and values, humanitarian action (including RCRC history and emblems, disaster law and auxiliary role), comprehensive school safety, (including climate and environmental change, risk reduction, emergency preparedness or anticipatory action), protection, gender or inclusion (including safeguarding, child protection, gender-based violence, sexual exploitation and abuse, discrimination, bullying, child marriage, recruitment to armed forces, harmful practices, social exclusion, violence prevention, mediation, gender equality, case identification and safe referral), mental health or psycho-social support (including socio-emotional learning and life skills), or foundational subject matters (e.g., literacy, numeracy, sciences (including computer sciences)), etc.","Educational level (i.e., pre-primary, primary, lower secondary, upper secondary, tertiary, other)",Services,Number
528,Education,Education,"SP 5 - Values, power and inclusion",Number of schools or other educational spaces in which RCRC programming takes place.,"RCRC (i.e., IFRC or National Society) programming includes at least one of the following interventions: - the (re)construction, rehabilitation or improvement of schools or other educational spaces or of water and sanitation facilities in or nearby schools or other educational spaces, - the distribution of educational or recreational kits, supplies or equipment [e.g., school furniture (e.g., tables, chairs, desks, boards), school uniforms (including clothes and shoes), teaching and learning materials (e.g., resources, school kits including stationery (e.g., pens, pencils, etc.), textbooks, guides, etc.), connectivity and assistive devices (e.g., tech devices such as laptops or tablets, hearing aids, glasses, etc.), sports equipment, games, colouring or painting materials, etc.], - scholarships, cash or voucher assistance for education (e.g., purchase of transportation tickets or of educational or recreational supplies/equipment, payment of tuition or exam fees or of school meals), - the distribution of daily meals or snacks or take-away food rations in schools or other educational spaces, - the distribution of personal, gender-sensitive hygiene items or packages (e.g., dignity kits, disinfection, soap, toothbrush, or other) in schools or other educational spaces, - the establisment or running of (temporary) safe spaces for learning, psychosocial support or recreation purposes (e.g., child-friendly spaces, transitional learning spaces), - the establishment or running of schools or other educational spaces, - the provision of (functional) literacy or numeracy classes, foreign language courses, remedial or catch-up classes, - homework assistance or other forms of schooling support (e.g., to learners with disabilities), - the provision of formal or non-formal technical, vocational or professional education or training, - the provision of MHPSS services to students, teachers or other education personnel, - safe transportation services from/to schools or other educational spaces, - the tracing of documents required for school enrolment or continuing education, - advocacy for safe, continued or equitable access to education (e.g. for the protection of schools or other educational spaces from attacks or military use, for the limited use of schools or other educational spaces as temporary evacuation or accommodation centers or for other purposes than education (e.g., quarantine, medical treatment, elections), for inclusive curricula, educational resources or pedagogical approaches).","Educational level (i.e., pre-primary, primary, lower secondary, upper secondary, tertiary, other), type of intervention (i.e., construction/renovation, feeding programme, in-kind distribution (NFI), CVA, foundational/functional learning provision/support, vocational/professional education provision/support, MHPSS, transportation, documents’ tracing, advocacy)",Services,Number
529,"Education
Coordination and cooperation","Education
External coordination","SP 5 - Values, power and inclusion",Number of National Societies that have a signed agreement with education authority or other relevant authorities or stakeholders in education.,"“Education authority” can be national or local such as the Ministry of Education, school headmasters or management/direction personnel of other educational spaces. “Other authorities” include Ministries of Health, Disaster Management, Labour, Family and Social Affairs, Environment and Protection, Youth and Sport. ”Stakeholders” include UN agencies (e.g., UNESCO, UNICEF, UNHCR), (I)NGOs, donors, foundations, private companies, academic institutions.","Type of partner (i.e., education authority, other authorities, education stakeholders)",NS,Number
534,"PGI
Integrity and accountability
National society development","SGBV and child protection
Integrity and accountability
National society development","SP 5 - Values, power and inclusion",Number of National Societies that have a child safeguarding system in place.,"Indicator to be aggregated as total of submitting NS. “System” refers to the different systems – Survivor support, HR, legal, investigation – that need to be in place for adequate child safeguarding.",,Organization,Number
535,PGI,SGBV and child protection,"SP 5 - Values, power and inclusion","Number of National Societies that have standalone, integrated or mainstreamed programming addressing SGBV that meets agreed minimum standards.","Sexual and gender-based violence (SGBV): categories that include, but are not limited to, sexual violence, intimate partner violence, trafficking, forced/early marriage, sexual harassment, forced prostitution, femicide, female genital mutilation, sexual exploitation and abuse, and denial of resources, opportunities and services. The mainstreamed SGBV programmes are those described in the PGI minimum standards, the standalone or integrated are similar programming in any context that meets those same standards and/or equivalent international or national guidance and recommendations on SGBV programming (e.g. gbvguidelines.org for integrated programming and www.unfpa.org/minimum-standards for standalone programming, and national legislation for non-emergency programming).",,NS,Number
537,PGI,Inclusion,"SP 5 - Values, power and inclusion","Number of National Societies whose data on “people reached” is disaggregated by sex, age and disability.","Indicator to be aggregated as total of submitting NS. data on people reached' refers to at least one people reached indicator as provided to FDRS. 'Disaggregated by sex, age and disability' refers to the guidance provided by FDRS, on sex and age disaggregation, and for disability refers to the use of the Washington Group Short Set questions (or more detailed).",,NS,Number
